flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s,speed_cmds
notimplemented,notimplemented,move,.45,.55,.01
notimplemented,notimplemented,move,.55,.55,.01
notimplemented,notimplemented,move,.55,.54,.01
notimplemented,notimplemented,move,.45,.54,.01
notimplemented,notimplemented,move,.45,.53,.01
notimplemented,notimplemented,move,.55,.53,.01
notimplemented,notimplemented,move,.55,.52,.01
notimplemented,notimplemented,move,.45,.52,.01
notimplemented,notimplemented,move,.45,.51,.01
notimplemented,notimplemented,move,.55,.51,.01
notimplemented,notimplemented,move,.55,.50,.01
notimplemented,notimplemented,move,.45,.50,.01
notimplemented,notimplemented,move,.45,.49,.01
notimplemented,notimplemented,move,.55,.49,.01
notimplemented,notimplemented,move,.55,.48,.01
notimplemented,notimplemented,move,.45,.48,.01
notimplemented,notimplemented,move,.45,.47,.01
notimplemented,notimplemented,move,.55,.47,.01
notimplemented,notimplemented,move,.55,.46,.01
notimplemented,notimplemented,move,.45,.46,.01
notimplemented,notimplemented,move,.55,.45,.01
notimplemented,notimplemented,move,.45,.45,.01
notimplemented,notimplemented,move,.5,.5,.01
