,distance,uncert
0,0.032835,0.000515
200,0.039789,0.000424
400,0.045759,0.001383
600,0.052445,0.000471
800,0.05813,0.000382
1000,0.068414,0.000555
1200,0.073547,0.00209
1400,0.081424,0.000529
1600,0.08981,0.002409
1800,0.095892,0.002127
2000,0.105278,0.00053
2200,0.10778,0.000521
2400,0.114415,0.000494
2600,0.125596,0.000466
2800,0.129668,0.002051
3000,0.138243,0.000392
3200,0.144593,0.000491
3400,0.150727,0.001047
3600,0.157784,0.002184
3800,0.161261,0.001706
4000,0.1661,0.000801
4200,0.173097,0.001276
4400,0.179654,0.001974
4600,0.185771,0.001764
4800,0.191922,0.001362
5000,0.197754,0.00037
5200,0.204561,0.000086
5400,0.210936,0.000448
5600,0.222626,0.000509
5800,0.225275,0.000424
6000,0.231685,0.000754
6200,0.242408,0.000553
6400,0.247352,0.001998
6600,0.255712,0.000518
6800,0.260707,0.001946
7000,0.270093,0.001926
7200,0.276693,0.001778
7400,0.281197,0.000515
7600,0.283215,0.000507
7800,0.293508,0.000528
8000,0.300953,0.001702
8200,0.306526,0.000448
8400,0.312971,0.001028
8600,0.316249,0.00048
8800,0.326567,0.001234
9000,0.333417,0.000227
9200,0.335471,0.000231
9400,0.346194,0.000138
9600,0.351673,0.001468
9800,0.354321,0.000228
10000,0.364527,0.000227
10200,0.369764,0.001656
10400,0.375812,0.00168
10600,0.379633,0.00206
10800,0.388157,0.001404
11000,0.394084,0.001634
11200,0.403048,0.001437
11400,0.407189,0.002088
11600,0.411761,0.00051
11800,0.41831,0.0014
12000,0.428274,0.001258
12200,0.434744,0.001635
12400,0.437298,0.000536
12600,0.443251,0.00054
12800,0.452396,0.001861
13000,0.458504,0.003808
13200,0.461109,0.000507
13400,0.470332,0.001692
13600,0.479882,0.002124
13800,0.477492,0.001929
14000,0.481979,0.000513
14200,0.488121,0.00136
14400,0.498258,0.000437
14600,0.502693,0.002278
14800,0.510474,0.001365
15000,0.512355,0.000085
15200,0.521603,0.001793
15400,0.525106,0.001765
15600,0.533811,0.00012
15800,0.53985,0.000313
16000,0.545975,0.000336
16200,0.555621,0.001606
16400,0.557812,0.000062
16600,0.564326,0.002679
16800,0.572047,0.002159
17000,0.574946,0.000441
17200,0.582538,0.003347
17400,0.586653,0.000479
17600,0.598377,0.003484
17800,0.598386,0.000518
18000,0.604011,0.00121
18200,0.610645,0.000533
